Match ID,Second,Result,Player,Race,Current Workers,Food Used,Food Available,Current Minerals,Minerals Collection Rate,Minerals Used in Progress,Minerals Used,Minerals Used Active Forces,Minerals Lost,Current Vespene,Vespene Collection Rate,Vespene Used in Progress,Vespene Used,Vespene Used Active Forces,Vespene Lost
0,720,Win,Player 2 - DisK (Protoss),P,62,100.0,133.0,585,2519,550,9750,1700,2075,557,627,250,1525,975,450
0,750,Loss,Player 1 - MCanning (Protoss),P,59,108.0,133.0,355,2239,500,10375,2125,1975,321,918,300,1725,1125,500
0,750,Win,Player 2 - DisK (Protoss),P,65,112.0,133.0,540,2379,400,10475,2125,2475,439,940,250,1950,1400,450
0,780,Loss,Player 1 - MCanning (Protoss),P,61,117.0,133.0,165,2211,625,11125,2675,1975,48,963,275,2275,1675,500
0,780,Win,Player 2 - DisK (Protoss),P,70,127.0,125.0,180,2463,450,11375,2725,2575,591,985,150,2050,1400,450
0,810,Loss,Player 1 - MCanning (Protoss),P,60,124.0,149.0,120,2323,850,11400,2800,2225,92,963,300,2400,1800,500
0,810,Win,Player 2 - DisK (Protoss),P,70,127.0,149.0,795,2547,300,11825,2875,2575,935,940,0,2200,1550,450
0,840,Loss,Player 1 - MCanning (Protoss),P,61,129.0,149.0,360,2239,575,11900,2950,2650,290,940,575,2325,1725,625
0,840,Win,Player 2 - DisK (Protoss),P,68,118.0,149.0,395,2407,1100,11225,2225,3475,845,1052,300,2050,1400,600
0,870,Loss,Player 1 - MCanning (Protoss),P,63,131.0,149.0,125,2211,975,12150,3100,2825,167,985,425,2475,1875,900
0,870,Win,Player 2 - DisK (Protoss),P,68,140.0,149.0,385,2435,1425,12175,2925,3475,281,940,575,2750,2100,600
0,900,Loss,Player 1 - MCanning (Protoss),P,64,132.0,157.0,410,2407,1000,12500,3300,2825,232,940,300,2875,2275,900
0,900,Win,Player 2 - DisK (Protoss),P,65,139.0,141.0,1195,2407,600,12450,3150,3675,637,1030,150,3175,2525,600
0,930,Loss,Player 1 - MCanning (Protoss),P,63,135.0,157.0,740,2407,600,12950,3800,3150,209,985,0,3350,2750,1100
0,930,Win,Player 2 - DisK (Protoss),P,67,139.0,141.0,1580,2463,350,12900,3400,3825,681,963,150,3325,2675,600
