map-name, #-of-Games, TvZ-total, TvZ-T, TvZ-Z, TvZ%, PvZ-total, PvZ-Z, PvZ-P, PvZ%, PvT-total, PvT-P, PvT-T, PvT%, TvT, ZvZ, PvP
Eternal Empire LE, 4418, 922, 487, 435, 52.8%, 1037, 504, 533, 48.6%, 1203, 582, 621, 48.4%, 427, 313, 516, 
Ever Dream LE, 3673, 725, 380, 345, 52.4%, 1083, 583, 500, 53.8%, 846, 430, 416, 50.8%, 232, 352, 435, 
Deathaura LE, 3922, 808, 405, 403, 50.1%, 877, 423, 454, 48.2%, 1019, 506, 513, 49.7%, 244, 353, 621, 
Ice and Chrome LE, 1527, 314, 142, 172, 45.2%, 433, 238, 195, 55.0%, 326, 162, 164, 49.7%, 90, 168, 196, 
Pillars of Gold LE, 3216, 743, 387, 356, 52.1%, 785, 392, 393, 49.9%, 841, 411, 430, 48.9%, 247, 277, 323, 
